"CONTEXT (DO NOT MODIFY)","ENGLISH (DO NOT MODIFY)","LOCALIZED (EDIT THIS COLUMN)"
"end:ignore-ezic","A new agreement has been reached with Kolechia.","我们与科勒齐亚达成了一项新的协议。"
"end:ignore-ezic","Grestin Border Checkpoint will reopen soon.","葛瑞斯汀边检站不就将会重开。"
"end:ignore-ezic","Return to your post on January 1st.","一月一号起回到你的岗位。"
"end:ignore-ezic","ENDLESS UNLOCK CODE: 62131","无尽模式解锁密码：62131"
"endless:timed","Timed","计时模式"
"endless:timed","Process as many travelers as possible in 10 minutes.","在10分钟内处理尽可能多的入境请求。"
"endless:timed","ENDLESS - TIMED

Process as many travelers as possible in 10 minutes. One point per traveler. Lose 30 seconds for each citation.","无尽模式 之 计时模式

在10分钟内处理尽可能多的入境请求。正确处理一个得1分。每条传讯扣30秒"
"endless:perfection","Perfection","完美模式"
"endless:perfection","Game over at first penalty. Earn dwindling points.","第一次犯错被处罚时游戏结束。得到的分数逐渐减少。"
"endless:perfection","ENDLESS - PERFECTION

Earn points for processing travelers. No citations allowed. Ten points per traveler in the first minute, one less point for each minute that passes. Work quickly.","无尽模式 之 完美模式

通过正确处理入境请求来得分。不允许被传讯。游戏开始后的一分钟内每正确处理一个入境请求得10分，之后每过一分钟递减1分，快速工作吧。"
"endless:endurance","Endurance","耐久模式"
"endless:endurance","Play until balance goes negative. Avoid penalties.","当存款为负时游戏结束。尽量避免被罚分。"
"endless:endurance","ENDLESS - ENDURANCE

Process travelers until your balance drops below zero. Citations penalize an escalating number of points. The highest achieved points are remembered for scoring.","无尽模式 之 耐久模式

在你的存款减为0之前尽可能多地处理入境请求。传讯罚款额会不断递增。所达到的最高分将会被记录。"
"endless:course1","Course 1","Course 1"
"endless:course2","Course 2","Course 2"
"endless:course3","Course 3","Course 3"
"endless:course4","Course 4","Course 4"
"bullend:1A","Check rulebook for rules in effect.","查看规则手册以确认哪些规则目前有效。"
"bullend:2A","Check rulebook for rules in effect.","查看规则手册以确认哪些规则目前有效。"
"bullend:3A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.","查看规则手册以确认哪些规则目前有效。拒绝入境时需盖拒签理由章。"
"bullend:4A","Check rulebook for rules in effect. REASON FOR DENIAL stamp is required when denying entry.","查看规则手册以确认哪些规则目前有效。拒绝入境时需盖拒签理由章。"
"night:MANAGE_EXPENSES","Manage your expenses using the checkboxes below.","用以下的复选框来管理你的开销。"
"night:AFTER_6PM","Applicants entering after 6PM are unpaid.","处理下午6点以后进来的申请者是没有报酬的。"
"night:PROGRESS_SAVED","Progress is saved at the start of each day.","每天早上会自动储存进度。"
"night:ATTACK_DIDNOTHING","The day was cut short by a terrorist attack.","这一天因为恐怖分子袭击而提前结束了。"
"night:ATTACK_FIREDGUN","The day was cut short by a terrorist attack.","这一天因为恐怖分子袭击而提前结束了。"
"night:ATTACK_FIREDGUN","TRIGGER BONUS","射击奖金"
"night:ATTACK_SOLVED","The day was cut short by a terrorist attack.","这一天因为恐怖分子袭击而提前结束了。"
"night:ATTACK_SOLVED","SHARPSHOOTER BONUS","神枪手奖金"
"night:POISONING","The day was cut short by a security incident.","这一天因为安全事故而提前结束了。"
"night:FAMILY_PICTURE","Your wife found an old family picture.","你妻子找到了一张旧的全家福照片。"
"night:BUY_UPGRADE0","Booth Upgrade Available: SPACE key to toggle INSPECT mode.","工作间可升级：空格键开启审查模式。"
"night:BUY_UPGRADE0","UPGRADE BOOTH","升级工作间"
"night:BUY_UPGRADE1","Booth Upgrade Available: TAB key to toggle stamp bar.","工作间可升级：TAB键打开签证审批章"
"night:BUY_UPGRADE1","UPGRADE BOOTH","升级工作间"
"night:BUY_UPGRADE2","Booth Upgrade Available: Rulebook shortcuts.","工作间可升级：规则手册快捷方式。"
"night:BUY_UPGRADE2","UPGRADE BOOTH","升级工作间"
"night:BUY_UPGRADE3","Booth Upgrade Available: Double-click for quick INSPECT.","工作间可升级：双击来进行快速审查。"
"night:BUY_UPGRADE3","UPGRADE BOOTH","升级工作间"
"night:APARTMENT_RENT","The rent has gone up.","住所租金涨了。"
"night:APARTMENT_UPGRADE","A cheaper class 8 apartment is available (Rent = 25, Heat = 10)","现在有一套便宜点的8级公寓可住（租金 = 25，暖气 = 10）"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-8","搬去8级公寓"
"night:APARTMENT_UPGRADE","A class-7 apartment is available. (Rent = 30, Heat = 10)","现在有一套7级公寓可住（租金 = 30，暖气 = 10）"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-7","搬去7级公寓"
"night:APARTMENT_UPGRADE","A class-6 apartment is available. (Rent = 40, Heat = 5)","现在有一套6级公寓可住（租金 = 40，暖气 = 5）"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-6","搬去6级公寓"
"night:APARTMENT_UPGRADE","A class-5 apartment is available. (Rent = 50, Heat = 0)","现在有一套5级公寓可住（租金 = 50，暖气 = 0）"
"night:APARTMENT_UPGRADE","Class-5 is the best a worker can have.","5级公寓是员工能住的最高等级了。"
"night:APARTMENT_UPGRADE","MOVE TO CLASS-5","搬去5级公寓"
"night:SON_BIRTHDAY","Your son's birthday is in 2 days.","你儿子还有2天就要过生日了。"
"night:SON_BIRTHDAY2","Your son's birthday is tomorrow. He wants an expensive crayon set.","你儿子明天过生日，他想要一套很贵的蜡笔。"
"night:SON_BIRTHDAY2","SON'S GIFT","儿子的礼物"
"night:SON_BIRTHDAY3","Your son has drawn a picture for you to take to work.","你儿子画了一幅画让你工作时带上。"
"night:NIECE","Your sister has been arrested. Her young daughter needs a home.","你的姐姐被捕了。她的小女儿需要住处。"
"night:NIECE","ADOPT NIECE","收养的侄女"
"night:NIECE2_YES","Your niece has brought her mother's savings.","你的侄女带来了他妈妈的积蓄。"
"night:NIECE2_YES","SISTER'S SAVINGS","姐姐的积蓄"
"night:NIECE2_NO","Your niece has disappeared.","你的侄女失踪了。"
"night:FRIENDLY_GUARD_PAYOUT","A young woman dropped off something.","一个年轻的女人落下了一些东西。"
"night:FRIENDLY_GUARD_PAYOUT","ELISA'S GIFT","ELISA的礼物"
"night:DETAIN_PAYOUT","DETAIN BONUS","扣押奖金"
"night:EZIC_PAYOUT","A strange man brought money. Uncheck to burn it.","一个陌生人给你带来了钱。取消选择以烧掉它。"
"night:EZIC_PAYOUT","EZIC GIFT","EZIC的礼物"
"night:EZIC_PAYOUT_RETRY","A strange man brought money again. Uncheck to burn it.","一个陌生人又给你带来了钱。取消选择以烧掉它。"
"night:EZIC_PAYOUT_RETRY","EZIC GIFT","EZIC的礼物"
"night:EZIC_TAKESAVINGS","The neighbors have reported your new wealth.","邻居揭发了你新近得到的财富。"
"night:EZIC_TAKESAVINGS","The Ministry of Income has confiscated your savings pending investigation.","收入管理局没收了所有的积蓄并等待调查。"
"night:EZIC_CLEARED","The Ministry of Income has cleared all wrongdoing.","收入管理局认为你并无过失。"
"night:EZIC_CLEARED","Your savings will not be returned.","但你的积蓄并不会归还。"
"night:EZIC_REWARD","A small package arrived.","你收到一个小包裹。"
"night:EZIC_REWARD","EZIC GIFT","EZIC的礼物"
"night:TAKE_FAMILY_PASSPORTS","The Ministry of Information has confiscated your family's passports.","情报局没收了你家人的护照。"
"night:ESCAPE","You can now escape to Obristan by yourself.","你现在能自己逃往奥布里斯坦了。"
"night:ESCAPE","You can now escape to Obristan with one family member.","你现在能和一名家人一起逃往奥布里斯坦了。"
"night:ESCAPE","You can now escape to Obristan with two family members.","你现在能和两名家人一起逃往奥布里斯坦了。"
"night:ESCAPE","You can now escape to Obristan with three family members.","你现在能和三名家人一起逃往奥布里斯坦了。"
"night:ESCAPE","You can now escape to Obristan with four family members.","你现在能和四名家人一起逃往奥布里斯坦了。"
"night:ESCAPE","You can now escape to Obristan with everyone.","你现在能和所有家人一起逃往奥布里斯坦了。"
"night:ESCAPE_1","ESCAPE (SELF)","逃亡（自己）"
"night:ESCAPE_2","ESCAPE (SELF+1)","逃亡（自己+1位家人）"
"night:ESCAPE_3","ESCAPE (SELF+2)","逃亡（自己+2位家人）"
"night:ESCAPE_4","ESCAPE (SELF+3)","逃亡（自己+3位家人）"
"night:ESCAPE_5","ESCAPE (SELF+4)","逃亡（自己+4位家人）"
"night:ESCAPE_6","ESCAPE (SELF+5)","逃亡（自己+5位家人）"
"night:HANGINGS_PENALTY","A fine has been assessed for unofficial wall hangings.","你由于在墙上悬挂未经官方授权的东西而被罚款。"
"night:HANGINGS_PENALTY","HANGINGS FINE","悬挂费"
"night:SELL_WATCH","You sold the digital watch on your way home.","你在回家路上卖掉了电子表。"
"night:SELL_WATCH","WATCH PROFIT","卖表收入"
"night:EASY_MODE","EASY MODE CRUTCH","简单模式辅助"
"night:SNEAK_HOME","You have rushed home amid the panic at work to check on your family.","带着工作中惊魂未定的状态你飞奔回家想确认家人的情况。"
"night:SNEAK_HOME","Your information audit is scheduled for tomorrow morning.","你的情报审查被安排在明天早上。"
"note:EZIC_CORMAN","ARSTOTZKA IS GREAT COUNTRY POISONED BY CORRUPT LEADERS

WAR HAS MADE GOV'T GREEDY AND PARANOID - YOU HAVE SEEN FOR YOURSELF

HELP US FREE ARSTOTZKA FROM ITS SHACKLES


* THE ORDER OF THE EZIC STAR","阿斯托茨卡是个伟大的国家，但却被腐败的领导所毒害。

战争使政府变得贪婪和多疑 - 你自己也看到了。

帮助我们让阿斯托茨卡挣脱束缚。


*EZIC之星"
"note:EZIC_HANDLER_POST0","FIRST AGENT WAS DENIED

SECOND WILL COME IN THREE DAYS

DO NOT MAKE SAME MISTAKE","第一个密探被拒绝入境了

第二个将在三天后入境

别再犯同样的错误了"
"note:EZIC_HANDLER_PRE1","LARGE GIFT WAS MISTAKE

MINISTRY OF INFORMATION NOW INVESTIGATES YOUR CONNECTION TO EZIC

NEXT AGENT COMES TODAY

WILL SOLVE PROBLEM

DENY AT OWN RISK","给你送大礼是个错误

情报局现在正在调查你与EZIC之前的关系

下一个密探几天到达

会帮你解决问题

如果拒绝他入境你就自己看着办吧"
"note:EZIC_HANDLER_POST1","BOTH AGENTS WERE DENIED

WE CANNOT SUCCEED WITHOUT YOUR HELP

WHEN ARSTOTZKA WAS BORN, THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN","两个密探都被拒签了

没有你的帮助我们无法成功

在阿斯托茨卡建国初期我们的组织就执行和现在一样的使命

当推翻暴君后我们会再一次蛰伏"
"note:EZIC_HANDLER_POST1","ONLY ONE AGENT APPROVED

WE CANNOT SUCCEED WITHOUT YOUR HELP

WHEN ARSTOTZKA WAS BORN ,THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN","只有一个密探被准许入境

没有你的帮助我们无法成功

在阿斯托茨卡建国初期我们的组织就执行和现在一样的使命

当推翻暴君后我们会再一次蛰伏"
"note:EZIC_HANDLER_POST1","YOU HAVE DONE WELL

BOTH AGENTS NOW OPERATING

WHEN ARSTOTZKA WAS BORN, THE ORDER FULFILLED SAME ROLE AS TODAY

WHEN TYRANNY ENDS WE WILL DISAPPEAR AGAIN","干得好

两个密探都已经开始行动

在阿斯托茨卡建国初期我们的组织就执行和现在一样的使命

当推翻暴君后我们会再一次蛰伏"
